t[ms], PWM[us],Empuxo,TempAmbiente,TempMotor,Tensao,Corrente,RPM
0,1500,-0.06,25.90,29.33,0.15,2.46,0.00
7000,1550,0.31,25.42,29.33,0.19,2.55,0.00
7500,1550,0.10,25.90,29.33,0.16,2.48,0.00
8000,1550,0.33,25.90,29.33,0.14,2.40,0.00
8500,1550,0.30,25.90,29.33,0.18,2.57,0.00
9000,1550,0.58,25.90,29.33,0.18,2.55,0.00
9500,1550,0.46,26.39,29.33,0.14,2.50,0.00
10000,1550,0.15,25.90,29.81,0.13,2.48,0.00
10500,1550,0.52,25.90,29.33,0.20,2.40,180.00
11000,1550,0.29,25.90,29.33,0.14,2.53,120.00
11500,1550,0.13,25.90,29.33,0.13,2.48,120.00
12000,1550,0.32,25.42,29.33,0.20,2.51,120.00
12500,1550,0.10,26.39,30.30,0.19,2.55,180.00
13000,1550,0.52,25.90,29.33,0.12,2.50,300.00
17284,1600,0.47,25.90,29.33,0.20,2.57,189.08
17784,1600,0.56,25.90,30.30,0.15,2.45,540.00
18284,1600,0.31,26.39,29.33,0.14,2.51,360.00
18784,1600,0.81,26.39,29.33,0.19,2.55,240.00
19284,1600,0.32,25.90,29.33,0.19,2.48,240.00
19784,1600,0.42,25.90,29.33,0.13,2.50,300.00
20284,1600,0.56,25.90,29.81,0.13,2.54,180.00
20784,1600,0.53,25.90,29.33,0.20,2.58,300.00
21284,1600,0.47,25.90,30.30,0.13,2.60,300.00
21784,1600,0.52,25.90,29.33,0.13,2.54,240.00
22284,1600,0.41,25.90,29.33,0.20,2.50,240.00
22784,1600,0.39,25.90,29.33,0.20,2.54,240.00
23284,1600,0.31,25.90,29.81,0.12,2.53,360.00
27564,1650,0.53,25.90,29.81,0.20,2.41,189.25
28064,1650,0.34,25.90,29.33,0.14,2.28,0.00
28564,1650,1.31,25.90,29.33,0.12,2.18,360.00
